sku,Bild Qualität,Linsensystem,Fokussierung,Blende,Video,short_description,long_description
21751902,18 MP,18 - 55 mm,TTL,1/4000 s,true,"Canon EOS 1200D + EF-S 18-55mm, Auto, wolkig, Benutzerdefinierte Modi, Tageslicht, Flash, fluorisierend, Schatten, Wolfram, Close-up (Makro), Landschaft, Nachtporträt, Porträt, Sport, Zeitautomatik, Manuell, Blendenautomatik, Schwarz&Weiss, Electrical, Batterie/Akku","Canon 1200D + EF-S 18-55mm, EOS. Kamerabildpunkte: 18 MP, Kamera-Typ: SLR-Kamera-Set, Sensor-Typ: CMOS. Brennweitenbereich: 18 - 55 mm, Minimum Brennweite (35mm film equiv): 2,9 cm, Maximum Brennweite (35mm film equiv): 8,8 cm. Fokus: TTL, Autofokus (AF)-Modi: Servo Auto Focus, Naheinstellgrenze: 0,25 m. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, 3200, 6400, 12800, Auto, Belichtungstyp: Auto, Manuell, Belichtungskorrektur: ±5EV (1/2; 1/3 EV step). Längste Verschlusszeit: 1/4000 s, Kürzeste Verschlusszeit: 30 s, Maximale Strecke (außen): Elektronisch"
18146996,18 MP,18 - 55 mm,TTL,1/4000 s,true,"Canon EOS Rebel SL1 + EF-S 18-55mm, Auto, wolkig, Tageslicht, Flash, Fluoreszierend L, Schatten, Sunny, Wolfram, Kerzenlicht, Kinder, Close-up (Makro), Landschaft, Nachtporträt, Porträt, Sport, Zeitautomatik, Auto, Manuell, Bild, Programm, Scene, Blendenautomatik, Schwarz&Weiss, Bild, Einzelbild, Optisch","Canon Rebel SL1 + EF-S 18-55mm, EOS. Kamerabildpunkte: 18 MP, Kamera-Typ: SLR-Kamera-Set, Sensor-Typ: CMOS. Brennweitenbereich: 18 - 55 mm, Minimum Brennweite (35mm film equiv): 2,9 cm, Maximum Brennweite (35mm film equiv): 8,8 cm. Fokus: TTL, Autofokus (AF)-Modi: Gesichtserkennung, Multi Point Auto Focus, Servo Auto Focus, Einzelbild-Autofokus, Nachlauf Auto-Fok, Naheinstellgrenze: 0,25 m. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, 3200, 6400, 12800, Belichtungstyp: Zeitautomatik AE, Auto, Manuell, Blendenautomatik AE, Belichtungssteuerung: Programm AE. Längste Verschlusszeit: 1/4000 s, Kürzeste Verschlusszeit: 30 s, Maximale Strecke (außen): Mechanisch"
25905585,20 MP,8 x,TTL,1/2000 s,true,"Canon IXUS 160, Auto, wolkig, Tageslicht, fluorisierend, Fluoreszierend H, Feuerwerk, Porträt, Schnee, Schwarz&Weiss, lebendig, Batterie/Akku, Kompaktkamera, TTL","Canon 160, IXUS. Kamerabildpunkte: 20 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 8x, Digitaler Zoom: 4x, Brennweitenbereich: 5 - 40 mm. Fokus: TTL, Fokus-Apassung: Auto, Autofokus (AF)-Modi: Kontinuierlicher Autofocus, Servo Auto Focus, Einzelbild-Autofokus, Nachlauf Auto-Fokus. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, Auto, Belichtungskorrektur: ± 2EV (1/3EV step), Belichtungsmessung: Mittenbetonte, Evaluativ (Mehrfeld), Spot. Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 15 s"
25904598,20 MP,8 x,TTL,1/2000 s,true,"Canon IXUS 165, Auto, wolkig, Tageslicht, fluorisierend, Fluoreszierend H, Wolfram, Feuerwerk, Porträt, Selbstportrait, Schwarz&Weiss, lebendig, Bild, Einzelbild, Batterie/Akku, Kompaktkamera","Canon 165, IXUS. Kamerabildpunkte: 20 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 8x, Digitaler Zoom: 4x, Brennweitenbereich: 5 - 40 mm. Fokus: TTL, Autofokus (AF)-Modi: Kontinuierlicher Autofocus, Servo Auto Focus, Einzelbild-Autofokus, Nachlauf Auto-Fokus, Naheinstellgrenze: 0,01 m. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, Auto, Belichtungstyp: Auto, Belichtungssteuerung: Programm AE. Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 15 s"
30688700,"20,2 MP",12 x,TTL,1/2000 s,true,"Canon IXUS 285 HS, Auto, Manuell, Schwarz&Weiss, Negativ Film, Positiver Film, Sepia, lebendig, Bild, Einzelbild, Diashow, Batterie/Akku, Kompaktkamera, TTL","Canon 285 HS, IXUS. Kamerabildpunkte: 20,2 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 12x, Digitaler Zoom: 4x, Brennweitenbereich: 4,5 - 54 mm. Fokus: TTL, Fokus-Apassung: Auto/Manuell, Autofokus (AF)-Modi: AI Focus. ISO-Empfindlichkeit: 80, 100, 200, 400, 800, 1600, Auto, Belichtungstyp: Auto, Manuell, Belichtungskorrektur: ± 2EV (1/3EV step). Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 15 s"
30021637,"20,2 MP",3 x,TTL,1/2000 s,false,"Canon PowerShot G9 X, Auto, wolkig, Benutzerdefinierte Modi, Tageslicht, Flash, fluorisierend, Fluoreszierend H, Schatten,, Feuerwerk, Landschaft, Nacht, Porträt, Zeitautomatik, Auto, Manuell, Blendenautomatik, Schwarz&Weiss, Neutral, Positiver Film, Sepia, Hautfarben, lebendig, Highlights, Bild, Einzelbild, Diashow, Batterie/Akku","Canon G9 X, PowerShot. Kamerabildpunkte: 20,2 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1"". Optischer Zoom: 3x, Digitaler Zoom: 4x, Brennweitenbereich: 10,2 - 30,6 mm. Fokus: TTL, Fokus-Apassung: Auto/Manuell, Autofokus (AF)-Modi: Kontinuierlicher Autofocus, Servo Auto Focus. ISO-Empfindlichkeit: 125, 160, 200, 250, 320, 400, 500, 640, 800, 1000, 1250, 1600, 2000, 2500, 3200, 4000, 5000, 6400, 1, Belichtungstyp: Auto, Manuell, Belichtungssteuerung: Programm AE. Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 30 s"
25904691,"20,2 MP",18 x,TTL,1/2000 s,true,"Canon PowerShot SX610 HS, Auto, wolkig, Benutzerdefinierte Modi, Tageslicht, fluorisierend, Fluoreszierend H, Wolfram, Feuerwerk, Nacht, Porträt, Schwarz&Weiss, lebendig, Bild, Einzelbild, Batterie/Akku, Kompaktkamera","Canon SX610 HS, PowerShot. Kamerabildpunkte: 20,2 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 18x, Digitaler Zoom: 4x, Brennweitenbereich: 4,5 - 81 mm. Fokus: TTL, Fokus-Apassung: Auto/Manuell, Autofokus (AF)-Modi: Einzelbild-Autofokus. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, 3200, Auto, Belichtungstyp: Zeitautomatik AE, Belichtungssteuerung: Programm AE. Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 15 s"
26224361,"16,4 MP",5 x,TTL,1/2000 s,true,"Fujifilm FinePix XP80, Auto, Strand, Blume, Landschaft, Nacht, Party (innen), Porträt, Schnee, Sport, Sonnenuntergang, Unterwasse, Bild, Einzelbild, Diashow, Batterie/Akku, Kompaktkamera, TTL","Fujifilm XP80, FinePix. Kamerabildpunkte: 16,4 MP, Kamera-Typ: Kompaktkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 5x, Digitaler Zoom: 2x, Brennweitenbereich: 5 - 25 mm. Fokus: TTL, Autofokus (AF)-Modi: Kontinuierlicher Autofocus, Gesichtserkennung, Einzelbild-Autofokus, Normaler Fokusbereich: 0.6 - ∞ / 1 - ∞. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, 3200, 6400, Auto, Belichtungssteuerung: Programm AE, Belichtungskorrektur: ± 2EV (1/3EV step). Längste Verschlusszeit: 1/2000 s, Kürzeste Verschlusszeit: 4 s"
,,,,,,,
29393146,"12,1 MP",24 x,TTL,1/16000 s,false,"Panasonic Lumix DMC-FZ300, Auto, wolkig, Tageslicht, Flash, glühend, Schatten, Kinder, Food, Landschaft, Nachtporträt, Porträt, Sonnenuntergang, Schwarz&Weiss, Sepia, lebendig, Bild, Einzelbild, Diashow, Thumbnails, Batterie/Akku, Brückenkamera","Panasonic DMC-FZ300, Lumix. Kamerabildpunkte: 12,1 MP, Kamera-Typ: Brückenkamera, Größe des Bildsensors: 1/2.3"". Optischer Zoom: 24x, Digitaler Zoom: 4x, Brennweitenbereich: 4,5 - 108 mm. Fokus-Apassung: Auto/Manuell, Autofokus (AF)-Modi: Kontinuierlicher Autofocus, Gesichtserkennung, Face tracking, Flexible Spot Auto Focus, Einzelbild-A, Normaler Fokusbereich: 0.3 - ∞ / 2.0 - ∞. ISO-Empfindlichkeit: 100, 200, 400, 800, 1600, 3200, 6400, Auto, Belichtungstyp: Zeitautomatik AE, Auto, Manuell, Blendenautomatik AE, Belichtungssteuerung: Programm AE. Längste Verschlusszeit: 1/16000 s, Kürzeste Verschlusszeit: 60 s, Maximale Strecke (außen): Elektronisch, Mechanisch"
