sku,Bildschirm,Speicher,Wasserdicht,Battery,Farbe,short_description,long_description,
22196533,144 x 168 pixel,,true,8h,"Rot, Weiß","Multi-Sport Cardio, Bluetooth, GPS + GLONASS, 63g","TomTom Multi-Sport Cardio. Bildschirmauflösung: 144 x 168 Pixel. Gewicht: 63,5 g. Produktfarbe: Rot, Weiß. Batterielebensdauer: 8 h",
30014807,360 x 360 pixel,4 GB,false,250 mAh (Li-Ion),,"Samsung Gear S2, Lithium-Ion (Li-Ion), 802.11b, 802.11g, 802.11n","Samsung Gear S2. Internes RAM: 512 MB, Flash-Speicher: 4 GB. Bluetooth-Version: 4.1, WLAN-Standards: 802.11b, 802.11g, 802.11n. Batterietechnologie: Lithium-Ion (Li-Ion), Batteriekapazität: 250 mAh. Breite: 4,23 cm, Tiefe: 4,98 cm, Dicke: 1,14 cm",
27207215,128 x 128 pixel,,true,,,"ASUS VivoWatch, LCD, 128 x 128 Pixel, Android 4.3 +, Apple iOS 8.1 +, Schwarz, Eingebaut","ASUS VivoWatch. Bildschirmauflösung: 128 x 128 Pixel, Display-Typ: LCD. Gewicht: 50 g. Kompatible Betriebssysteme: Android 4.3 +, Apple iOS 8.1 +. Produktfarbe: Schwarz. Akku-/Batterietyp: Eingebaut",
24495853,296 x 128 pixel,,true,3 Tage,Schwarz,"296 x 128 E Ink, 1 Stunde Gesprächszeit, Bluetooth 4.0 Low Energy, Mikrofon, Micro USB, Tiefe 1.5m, IP 68","Sony SmartBand Talk SWR30. Gerätetyp: Kontrollarmband, Produktfarbe: Schwarz, Armbandfarbe: Schwarz. Display-Typ: E-Tinte, Bildschirmdiagonale: 3,56 cm (1.4""), Bildschirmauflösung: 296 x 128 Pixel. Übertragungstechnik: Kabellos, Bluetooth-Version: 4.0 LE. Unterstützte mobile Betriebssysteme: Android 4.4, Anwendungen: SmartBand Talk, Lifelog, Smart Connect. Batterielebensdauer: 3 Tag(e)",
26512884,320 x 320 pixel,4 GB,true,48h,"Braun, Schwarz","Sony Smartwatch 3 SWR50, Micro-USB, MMC","Sony Smartwatch 3 SWR50. Internes RAM: 514 MB, Flash-Speicher: 4 GB, Kompatible Speicherkarten: MMC. Bluetooth-Version: 4.0, USB-Stecker: Micro-USB. Batteriekapazität: 420 mAh, Batterielebensdauer: 48 h, Standbyzeit (Bluetooth an): 95 h. Breite: 3,6 cm, Tiefe: 1 cm, Dicke: 5,1 cm",
24495852,296 x 128 pixel,,true,3 Tage,Weiß,"296 x 128 E Ink, 1 Stunde Gesprächszeit, Bluetooth 4.0 Low Energy, Mikrofon, Micro USB, Tiefe 1.5m, IP 68","Sony SmartBand Talk SWR30. Gerätetyp: Kontrollarmband, Produktfarbe: Weiß, Armbandfarbe: Weiß. Display-Typ: E-Tinte, Bildschirmdiagonale: 3,56 cm (1.4""), Bildschirmauflösung: 296 x 128 Pixel. Übertragungstechnik: Kabellos, Bluetooth-Version: 4.0 LE. Unterstützte mobile Betriebssysteme: Android 4.4, Anwendungen: SmartBand Talk, Lifelog, Smart Connect. Batterielebensdauer: 3 Tag(e)",
24495843,320 x 320 pixel,4 GB,true,48h,Gelb,"SmartWatch 3 SWR50 - 1.6"" 320 x 320, Quad ARM A7 1.2 Ghz, 512 MB RAM, 4 GB eMMC, Bluetooth, NFC, GPS, IP68","Sony SmartWatch 3 SWR50. Internes RAM: 512 MB, Flash-Speicher: 4 GB. Bluetooth-Version: 4.0. Batterielebensdauer: 48 h. Gewicht: 45 g. Mitgelieferte Kabel: USB",
30014805,360 x 360 pixel,4 GB,false,250 mAh (Li-Ion),Weiß,"Samsung Gear S2, Lithium-Ion (Li-Ion), 802.11b, 802.11g, 802.11n","Samsung Gear S2. Internes RAM: 512 MB, Flash-Speicher: 4 GB. Bluetooth-Version: 4.1, WLAN-Standards: 802.11b, 802.11g, 802.11n. Batterietechnologie: Lithium-Ion (Li-Ion), Batteriekapazität: 250 mAh. Breite: 4,23 cm, Tiefe: 4,98 cm, Dicke: 1,14 cm",
24235707,,,true,,"Grün, Grau, Weiß","Bluetooth, USB","TomTom Golf. Produktfarbe: Grün, Grau, Weiß. Akku-/Batterietyp: Eingebaut",
24495842,320 x 320 pixel,4 GB,true,48h,Schwarz,"Sony SmartWatch 3 SWR50, 512 MB, 4 GB, 4.0, 48h, 45g, USB","Sony SmartWatch 3 SWR50. Internes RAM: 512 MB, Flash-Speicher: 4 GB. Bluetooth-Version: 4.0. Batterielebensdauer: 48h. Gewicht: 45g. Mitgelieferte Kabel: USB",
19763031,320 x 320 pixel,4 GB,false,315 mAh (li-Ion),"Edelstahl, Schwarz","Galaxy Gear - 1.63"" Super AMOLED 320 x 320, 800 MHz, Bluetooth 4.0, 1.9MP, 315 mAh","Samsung Galaxy Gear. Flash-Speicher: 4 GB. Bluetooth-Version: 4.0. Batterietechnologie: Lithium-Ion (Li-Ion), Batteriekapazität: 315 mAh. Breite: 3,68 cm, Tiefe: 5,66 cm, Dicke: 1,11 cm",
26192836,,,false,,Schwarz,"Hannspree SW68SD12, OLED, 257 x 38 x 10 mm, Schwarz, Blau","Hannspree SW68SD12. Display-Typ: OLED. Abmessungen (BxTxH): 257 x 38 x 10 mm, Gewicht: 88 g. Produktfarbe: Schwarz, Blau",
27003893,128 x 128 pixel,,false,,Schwarz,"ASUS VivoWatch, LCD, 128 x 128 Pixel, Android 4.3 +, Apple iOS 8.1 +, Schwarz, Eingebaut","ASUS VivoWatch. Bildschirmauflösung: 128 x 128 Pixel, Display-Typ: LCD. Gewicht: 50 g. Kompatible Betriebssysteme: Android 4.3 +, Apple iOS 8.1 +. Produktfarbe: Schwarz. Akku-/Batterietyp: Eingebaut",
26512883,320 x 320 pixel,4 GB,true,48h,Schwarz,"Sony Smartwatch 3 SWR50, Micro-USB, MMC","Sony Smartwatch 3 SWR50. Internes RAM: 514 MB, Flash-Speicher: 4 GB, Kompatible Speicherkarten: MMC. Bluetooth-Version: 4.0, USB-Stecker: Micro-USB. Batteriekapazität: 420 mAh, Batterielebensdauer: 48 h, Standbyzeit (Bluetooth an): 95 h. Breite: 3,6 cm, Tiefe: 1 cm, Dicke: 5,1 cm",
27290499,144 x 168 pixel,,true,10h,Blau,"Golfer, GPS + GLONASS, 53g",TomTom Golfer. Bildschirmauflösung: 144 x 168 Pixel. Gewicht: 53 g. Produktfarbe: Blau. Batterielebensdauer: 10 h,
29727910,128 x 32 pixel,,true,7 Tage,Schwarz,"Acer Leap Active, Aktive Minuten, Verbrannte Kalorien, Zurückgelegte Strecke, Stunden geschlafen, Schlafqualität, Schr, Kontrollarmband, Kabellos, Schwarz, 128 x 32 Pixel, Schwarz","Acer Leap Active. Gerätetyp: Kontrollarmband, Produktfarbe: Schwarz, Armbandfarbe: Schwarz. Aktivitätsüberwachung: Aktive Minuten, Verbrannte Kalorien, Zurückgelegte Strecke, Stunden geschlafen, Schlafqualität, Schr. Bildschirmdiagonale: 2,54 cm (1""), Bildschirmauflösung: 128 x 32 Pixel. Übertragungstechnik: Kabellos. Batterielebensdauer: 7 Tag(e)",
19611864,144 x 168 pixel,,true,10h,Grau,"TomTom Runner, 144 x 168 Pixel, 21,8 x 24,9 mm (0.86 x 0.98""), Grau","TomTom Runner. Bildschirmauflösung: 144 x 168 Pixel, Anzeigegröße (HxV): 21,8 x 24,9 mm (0.86 x 0.98""). Gewicht: 50 g. Produktfarbe: Grau. Batterielebensdauer: 10 h",
21047360,220 x 176 pixel,,true,168h,Schwarz,"4.064 cm (1.6 "") LCD 220x176, Bluetooth 3.0, NFC, IP57, Micro USB, Silber","Sony SW2 SmartWatch 2. Bluetooth-Version: 3.0, USB-Version: 2.0, USB-Stecker: Micro-USB A. Batterielebensdauer: 168 h. Mitgelieferte Kabel: USB",
29634940,,,,,,Sony SWR12,Sony SWR12,
12295890,128 x 128 pixel,,false,72h,Schwarz,"Sony SmartWatch, 3.0, 72h, 336h, 15,5g (0.547 oz)","Sony SmartWatch. Bluetooth-Version: 3.0. Batterielebensdauer: 72h, Standbyzeit (Bluetooth aus): 336h. Gewicht: 15,5g (0.547 oz)",
29805780,144 x 168 Pixel,4 GB,true,,schwarz,"TomTom Spark Cardio + Music, Eingebaut, Schwarz, 144 x 168 Pixel, Wasserfest","TomTom Spark Cardio + Music. Produktfarbe: Schwarz, Schutzfunktion: Wasserfest, Wasserdicht bis: 40 m. Bildschirmauflösung: 144 x 168 Pixel. Akku-/Batterietyp: Eingebaut. Gewicht: 49 g",
19682159,320 x 320 Pixel,4 GB,false,315 mAh,grün,"Samsung Galaxy Gear, Lithium-Ion (Li-Ion)","Samsung Galaxy Gear. Flash-Speicher: 4 GB. Bluetooth-Version: 4.0. Batterietechnologie: Lithium-Ion (Li-Ion), Batteriekapazität: 315 mAh. Breite: 3,68 cm, Tiefe: 5,66 cm, Dicke: 1,11 cm",
