sku,Image quality,Lens system,Focus,Shutter,Video,short_description,long_description
21751902,18 MP,18 - 55 mm,TTL,1/4000 s,true,"Canon EOS 1200D + EF-S 18-55mm, Auto, Cloudy, Custom modes, Daylight, Flash, Fluorescent, Shade, Tungsten, Close-up (macro), Landscape, Night portrait, Portrait, Sports, Aperture priority, Manual, Shutter priority, Black&White, Electrical, Battery","Canon 1200D + EF-S 18-55mm, EOS. Megapixel: 18 MP, Camera type: SLR Camera Kit, Sensor type: CMOS. Focal length range (f-f): 18 - 55 mm, Minimum focal length (35mm film equiv): 2.9 cm, Maximum focal length (35mm film equiv): 8.8 cm. Focus: TTL, Auto focusing (AF) modes: Servo Auto Focus, Closest focusing distance: 0.25 m. ISO sensitivity: 100, 200, 400, 800, 1600, 3200, 6400, 12800, Auto, Light exposure modes: Auto, Manual, Light exposure correction: ±5EV (1/2; 1/3 EV step). Fastest camera shutter speed: 1/4000 s, Slowest camera shutter speed: 30 s, Camera shutter type: Electronic"
18146996,18 MP,18 - 55 mm,TTL,1/4000 s,true,"Canon EOS Rebel SL1 + EF-S 18-55mm, Auto, Cloudy, Daylight, Flash, Fluorescent L, Shade, Sunny, Tungsten, Candlelight, Children, Close-up (macro), Landscape, Night portrait, Portrait, Sports, Aperture priority, Auto, Manual, Movie, Program, Scene, Shutter priority, Black&White, Movie, Single image, Optical","Canon Rebel SL1 + EF-S 18-55mm, EOS. Megapixel: 18 MP, Camera type: SLR Camera Kit, Sensor type: CMOS. Focal length range (f-f): 18 - 55 mm, Minimum focal length (35mm film equiv): 2.9 cm, Maximum focal length (35mm film equiv): 8.8 cm. Focus: TTL, Auto focusing (AF) modes: Face detection, Multi Point Auto Focus, Servo Auto Focus, Single Auto Focus, Tracking Auto Focus, Closest focusing distance: 0.25 m. ISO sensitivity: 100, 200, 400, 800, 1600, 3200, 6400, 12800, Light exposure modes: Aperture priority AE, Auto, Manual, Shutter priority AE, Light exposure control: Program AE. Fastest camera shutter speed: 1/4000 s, Slowest camera shutter speed: 30 s, Camera shutter type: Mechanical"
25905585,20 MP,8 x,TTL,1/2000 s,true,"Canon IXUS 160, Auto, Cloudy, Daylight, Fluorescent, Fluorescent H, Fireworks, Portrait, Snow, Black&White, Vivid, Battery, Compact camera, TTL","Canon 160, IXUS. Megapixel: 20 MP, Camera type: Compact camera, Image sensor size: 1/2.3"". Optical zoom: 8x, Digital zoom: 4x, Focal length range (f-f): 5 - 40 mm. Focus: TTL, Focus adjustment: Auto, Auto focusing (AF) modes: Continuous Auto Focus, Servo Auto Focus, Single Auto Focus, Tracking Auto Focus. ISO sensitivity: 100, 200, 400, 800, 1600, Auto, Light exposure correction: ± 2EV (1/3EV step), Light metering: Centre-weighted, Evaluative (Multi-pattern), Spot. Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 15 s"
25904598,20 MP,8 x,TTL,1/2000 s,true,"Canon IXUS 165, Auto, Cloudy, Daylight, Fluorescent, Fluorescent H, Tungsten, Fireworks, Portrait, Self-portrait, Black&White, Vivid, Movie, Single image, Battery, Compact camera","Canon 165, IXUS. Megapixel: 20 MP, Camera type: Compact camera, Image sensor size: 1/2.3"". Optical zoom: 8x, Digital zoom: 4x, Focal length range (f-f): 5 - 40 mm. Focus: TTL, Auto focusing (AF) modes: Continuous Auto Focus, Servo Auto Focus, Single Auto Focus, Tracking Auto Focus, Closest focusing distance: 0.01 m. ISO sensitivity: 100, 200, 400, 800, 1600, Auto, Light exposure modes: Auto, Light exposure control: Program AE. Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 15 s"
30688700,"20,2 MP",12 x,TTL,1/2000 s,true,"Canon IXUS 285 HS, Auto, Manual, Black&White, Negative film, Positive film, Sepia, Vivid, Movie, Single image, Slide show, Battery, Compact camera, TTL","Canon 285 HS, IXUS. Megapixel: 20.2 MP, Camera type: Compact camera, Image sensor size: 1/2.3"". Optical zoom: 12x, Digital zoom: 4x, Focal length range (f-f): 4.5 - 54 mm. Focus: TTL, Focus adjustment: Auto/Manual, Auto focusing (AF) modes: AI Focus. ISO sensitivity: 80, 100, 200, 400, 800, 1600, Auto, Light exposure modes: Auto, Manual, Light exposure correction: ± 2EV (1/3EV step). Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 15 s"
30021637,"20,2 MP",3 x,TTL,1/2000 s,false,"Canon PowerShot G9 X, Auto, Cloudy, Custom modes, Daylight, Flash, Fluorescent, Fluorescent H, Shade, Tungsten, Underwater, Fireworks, Landscape, Night, Portrait, Aperture priority, Auto, Manual, Shutter priority, Black&White, Neutral, Positive film, Sepia, Skin tones, Vivid, Highlights, Movie, Single image, Slide show, Battery","Canon G9 X, PowerShot. Megapixel: 20.2 MP, Camera type: Compact camera, Image sensor size: 1"". Optical zoom: 3x, Digital zoom: 4x, Focal length range (f-f): 10.2 - 30.6 mm. Focus: TTL, Focus adjustment: Auto/Manual, Auto focusing (AF) modes: Continuous Auto Focus, Servo Auto Focus. ISO sensitivity: 125, 160, 200, 250, 320, 400, 500, 640, 800, 1000, 1250, 1600, 2000, 2500, 3200, 4000, 5000, 6400, 1, Light exposure modes: Auto, Manual, Light exposure control: Program AE. Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 30 s"
25904691,"20,2 MP",18 x,TTL,1/2000 s,true,"Canon PowerShot SX610 HS, Auto, Cloudy, Custom modes, Daylight, Fluorescent, Fluorescent H, Tungsten, Fireworks, Night, Portrait, Black&White, Vivid, Movie, Single image, Battery, Compact camera","Canon SX610 HS, PowerShot. Megapixel: 20.2 MP, Camera type: Compact camera, Image sensor size: 1/2.3"". Optical zoom: 18x, Digital zoom: 4x, Focal length range (f-f): 4.5 - 81 mm. Focus: TTL, Focus adjustment: Auto/Manual, Auto focusing (AF) modes: Single Auto Focus. ISO sensitivity: 100, 200, 400, 800, 1600, 3200, Auto, Light exposure modes: Aperture priority AE, Light exposure control: Program AE. Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 15 s"
26224361,"16,4 MP",5 x,TTL,1/2000 s,true,"Fujifilm FinePix XP80, Auto, Beach, Flower, Landscape, Night, Party (indoor), Portrait, Snow, Sports, Sunset, Underwater, Movie, Single image, Slide show, Battery, Compact camera, TTL","Fujifilm XP80, FinePix. Megapixel: 16.4 MP, Camera type: Compact camera, Image sensor size: 1/2.3"". Optical zoom: 5x, Digital zoom: 2x, Focal length range (f-f): 5 - 25 mm. Focus: TTL, Auto focusing (AF) modes: Continuous Auto Focus, Face detection, Single Auto Focus, Normal focusing range: 0.6 - ∞ / 1 - ∞. ISO sensitivity: 100, 200, 400, 800, 1600, 3200, 6400, Auto, Light exposure control: Program AE, Light exposure correction: ± 2EV (1/3EV step). Fastest camera shutter speed: 1/2000 s, Slowest camera shutter speed: 4 s"
26141879,,,,,,,
29393146,"12,1 MP",24 x,TTL,1/16000 s,false,"Panasonic Lumix DMC-FZ300, Auto, Cloudy, Daylight, Flash, Incandescent, Shade, Children, Food, Landscape, Night portrait, Portrait, Sunset, Black&White, Sepia, Vivid, Movie, Single image, Slide show, Thumbnails, Battery, Bridge camera","Panasonic DMC-FZ300, Lumix. Megapixel: 12.1 MP, Camera type: Bridge camera, Image sensor size: 1/2.3"". Optical zoom: 24x, Digital zoom: 4x, Focal length range (f-f): 4.5 - 108 mm. Focus adjustment: Auto/Manual, Auto focusing (AF) modes: Continuous Auto Focus, Face detection, Face tracking, Flexible Spot Auto Focus, Single Auto Focus, Normal focusing range: 0.3 - ∞ / 2.0 - ∞. ISO sensitivity: 100, 200, 400, 800, 1600, 3200, 6400, Auto, Light exposure modes: Aperture priority AE, Auto, Manual, Shutter priority AE, Light exposure control: Program AE. Fastest camera shutter speed: 1/16000 s, Slowest camera shutter speed: 60 s, Camera shutter type: Electronic, Mechanical"
